module,test_id,evaluation_status,evaluation_seconds,schema_validity,skill_precision,skill_recall,skill_f1,skill_jaccard,category_accuracy,experience_accuracy,no_hallucination,overall,judge_reason,matching_skill_precision,matching_skill_recall,matching_skill_f1,missing_skill_precision,missing_skill_recall,missing_skill_f1,experience_fit,score_range_compliance,faithfulness,answer_relevance,context_use,instruction_following,expected_faithfulness_gap,http_status_correctness,authorization_correctness,business_logic_correctness,output_schema_correctness,content_quality,groundedness
ETL,ETL-001,scored,3.324,1.0,0.7143,1.0,0.8333,0.7143,1.0,1.0,0.0,0.7905,hallucination and formatting issues,,,,,,,,,,,,,,,,,,,
ETL,ETL-002,scored,22.583,1.0,0.3333,0.5,0.4,0.25,1.0,1.0,1.0,0.6475,Minor formatting issues with skill duplicates and non-normalized terms.,,,,,,,,,,,,,,,,,,,
ETL,ETL-003,scored,3.432,1.0,0.8,1.0,0.8889,0.8,0.75,1.0,0.0,0.8006,hallucination and minor category mismatch,,,,,,,,,,,,,,,,,,,
ETL,ETL-004,scored,40.582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,fully correct output,,,,,,,,,,,,,,,,,,,
ETL,ETL-005,scored,16.338,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.975,Minor category mismatch and formatting issues,,,,,,,,,,,,,,,,,,,
ETL,ETL-006,scored,3.881,1.0,1.0,0.8,0.8889,0.8,0.75,1.0,1.0,0.9006,"Missing one skill, minor category mismatch",,,,,,,,,,,,,,,,,,,
ETL,ETL-007,scored,2.747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,fully correct output,,,,,,,,,,,,,,,,,,,
ETL,ETL-008,scored,7.278,1.0,0.8182,1.0,0.9,0.8182,1.0,1.0,0.0,0.8327,hallucination and minor formatting issues,,,,,,,,,,,,,,,,,,,
ETL,ETL-009,scored,9.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,fully correct output,,,,,,,,,,,,,,,,,,,
ETL,ETL-010,scored,3.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,hallucination and formatting issues,,,,,,,,,,,,,,,,,,,
ETL,ETL-011,scored,20.092,1.0,0.6,1.0,0.75,0.6,1.0,1.0,0.0,0.74,hallucination of skills,,,,,,,,,,,,,,,,,,,
ETL,ETL-012,scored,39.37,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,Category mismatch,,,,,,,,,,,,,,,,,,,
ETL,ETL-013,scored,3.913,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,Category mismatch,,,,,,,,,,,,,,,,,,,
ETL,ETL-014,scored,4.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Perfect match,,,,,,,,,,,,,,,,,,,
ETL,ETL-015,scored,94.251,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.975,Incorrect job category wording and formatting,,,,,,,,,,,,,,,,,,,
RESUME,RES-001,scored,5.277,1.0,,,,,,,0.0,0.2625,"Resume contains hallucinated skills and experience, and score exceeds allowed range.",0.6,1.0,0.75,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
RESUME,RES-002,scored,10.868,1.0,,,,,,,1.0,0.85,"Correctly identified missing skills and experience mismatch, but failed to penalize for seniority mismatch in score.",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
RESUME,RES-003,scored,215.436,1.0,,,,,,,1.0,1.0,Perfect match with no hallucinations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
RESUME,RES-004,scored,21.815,1.0,,,,,,,1.0,1.0,Perfect match with no hallucinations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
RESUME,RES-005,scored,4.849,1.0,,,,,,,1.0,1.0,Perfect match to expected output,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
RESUME,RES-006,scored,20.139,1.0,,,,,,,0.0,0.5869,Unsupported experience and hallucinated Statistics skill,0.75,1.0,0.8571,1.0,0.5,0.6667,0.0,1.0,,,,,,,,,,,
RESUME,RES-007,scored,39.969,1.0,,,,,,,0.0,0.85,hallucination of forbidden skills in rephrased pitch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
RESUME,RES-008,scored,3.531,1.0,,,,,,,1.0,1.0,Perfect match with expected output,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
