module,metric,average_score_0_1,average_score_percent,cases_scored
ETL,schema_validity,1.0,100.0,15
ETL,skill_precision,0.8844,88.44,15
ETL,skill_recall,0.9533,95.33,15
ETL,skill_f1,0.9107,91.07,15
ETL,skill_jaccard,0.8655,86.55,15
ETL,category_accuracy,0.8,80.0,15
ETL,experience_accuracy,1.0,100.0,15
ETL,no_hallucination,0.6667,66.67,15
ETL,overall,0.8908,89.08,15
RESUME,schema_validity,1.0,100.0,12
RESUME,matching_skill_precision,0.8903,89.03,12
RESUME,matching_skill_recall,1.0,100.0,12
RESUME,matching_skill_f1,0.9256,92.56,12
RESUME,missing_skill_precision,0.9167,91.67,12
RESUME,missing_skill_recall,0.8194,81.94,12
RESUME,missing_skill_f1,0.8472,84.72,12
RESUME,experience_fit,0.75,75.0,12
RESUME,score_range_compliance,0.8333,83.33,12
RESUME,no_hallucination,0.6667,66.67,12
RESUME,overall,0.8368,83.68,12
CHATBOT,faithfulness,0.15,15.0,20
CHATBOT,answer_relevance,0.3,30.0,20
CHATBOT,context_use,0.3,30.0,20
CHATBOT,instruction_following,0.2,20.0,20
CHATBOT,no_hallucination,0.15,15.0,20
CHATBOT,overall,0.21,21.0,20
PREMIUM,http_status_correctness,0.85,85.0,20
PREMIUM,authorization_correctness,0.75,75.0,20
PREMIUM,business_logic_correctness,0.375,37.5,20
PREMIUM,output_schema_correctness,0.575,57.5,20
PREMIUM,content_quality,0.415,41.5,20
PREMIUM,groundedness,0.5,50.0,20
PREMIUM,no_hallucination,0.4,40.0,20
PREMIUM,overall,0.5702,57.02,20
